ID_SEI,Chave,Documento,Papel,C1_SDWAN,C2_SIMETRIA,C3_NGFW_IPS,C4_3_PERFIS,C5_REDUNDANCIA,C6_CAPILARIDADE,C7_GERENCIADO,C8_SLA_RIGOR,Pontos_Ponderados,Aderencia_Escopo_Pct,Grau_Aderencia,Destaques,Gaps_vs_TR
2215770,TR_DPRJ,Termo de Referência 2215770 (DPRJ),Padrão de Referência Absoluto (100%),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,Padrão de Referência (100%),Documento base de referência técnica e jurídica elaborado pela DPRJ.,Nenhum (Matriz padrão).
2219726,GSNT,Proposta GSNT Telecom,Cotação Direta de Mercado,9.5,10.0,9.0,8.5,9.0,10.0,9.0,8.5,92.0,92.0,Altíssima Aderência,"Cotou especificamente para as 159 unidades da DPRJ nos lotes solicitados, contemplando link simétrico com SD-WAN e segurança integrada.",Detalhamento genérico sobre a telemetria do orquestrador; submissão passiva ao modelo do TR sem detalhar matriz própria de MTTR.
2219742,CONTRATO_MTE,Contrato 18/2024 MTE / Telebras,Contrato Federal (Telebras SD-WAN),10.0,9.0,10.0,9.0,8.0,5.0,9.5,8.0,87.5,87.5,Altíssima Aderência,"Arquitetura técnica mais próxima do ideal em SD-WAN e segurança: CPEs inteligentes estratificados em perfis (Small, Mid, Enterprise), NGFW Premium com suporte de fabricante e gestão centralizada pelo NSOC da Telebras.",Escopo geográfico nacional (agências do trabalho em todo o Brasil) sem correlação direta com a capilaridade das comarcas isoladas do Estado do RJ; não prevê integração com o link K2 Telecom.
2219741,PREGAO_MPRJ,Pregão 90020/2024 MPRJ,Contratação Pública Estadual (RJ),7.5,10.0,8.0,5.0,9.5,10.0,9.5,10.0,84.75,84.75,Alta Aderência,"Mesma malha territorial fluminense (comarcas do interior e capital); links dedicados com redundância ativa obrigatória (100+50 e 200+100 Mbps); SLA idêntico de 99,5% com regime de glosas mensais rigoroso.",Não adota a cláusula de 3 perfis físicos fixos para upgrade sem aditivo; redundância provida por dois enlaces contratados no mesmo edital em vez de failover com 2º contrato (K2).
2219747,PREGAO_TJMRS,Pregão 2/2026 TJMRS,Contratação Pública Estadual (RS),8.5,9.5,7.5,5.0,9.0,3.0,8.5,9.5,75.75,75.75,Alta Aderência,"Interligação com tecnologia SD-WAN e túneis IPsec criptografados; links simétricos com contingência e agregação de banda (100+50 Mbps); SLA rigoroso de 99,5% com sanções por glosa direta.","Escopo territorial diminuto (apenas 4 localidades militares no Rio Grande do Sul: Porto Alegre, Santa Maria e Passo Fundo); não possui a lógica de 3 perfis fixos de hardware."
2219728,PREGAO_MPES,Pregão 90037/2025 MPES,Contratação Pública Estadual (ES),8.0,9.0,9.0,4.0,7.0,5.0,8.0,7.5,72.5,72.5,Aderência Moderada,Foco prioritário em ampliação de segurança cibernética com tecnologia SD-WAN e links dedicados para promotorias de justiça no Sudeste (ES).,Edital focado em expansão de segurança perimetral (UTM/NGFW) com conectividade secundária; não possui modelagem de 3 perfis físicos fixos nem abrangência no Rio de Janeiro.
2219730,PREGAO_DTI_PF,Pregão 90009/2025 DTI / PF,Pregão SRP Federal Nacional,9.5,6.5,8.0,4.0,8.5,4.0,9.0,7.0,70.5,70.5,Aderência Moderada,Orquestração SD-WAN de grande porte interligando centenas de pontos em território nacional; alta maturidade na gerência de tráfego por aplicação.,Transporte híbrido com forte dependência de conexões satelitais e banda larga assimétrica com CIR reduzido (incompatível com os links simétricos dedicados 1:1 exigidos pela DPRJ); não atende à malha das comarcas fluminenses.
2219752,OI_ATUAL,Proposta Oi (Contrato Vigente DPRJ),Contrato Vigente em Extinção (DPRJ),5.0,9.5,4.0,2.0,6.0,10.0,8.5,7.5,62.75,62.75,Aderência Moderada,Atendimento pleno a 100% da malha geográfica da instituição (as 159 unidades da DPRJ no RJ e Brasília-DF); links simétricos de alta qualidade operacional.,"Arquitetura legada de conectividade WAN tradicional, sem o orquestrador SD-WAN moderno, sem ativos de borda com NGFW/IPS integrado e sem a inovação de 3 perfis físicos para alteração de banda sem aditivo."
2219727,PREGAO_GO,Pregão 107458/2025 Sec. Geral GO,Contratação Pública Estadual (GO),8.0,6.0,5.5,3.0,6.5,3.0,7.5,7.5,58.25,58.25,Baixa Aderência,Contratação de circuitos terrestres de acesso à internet corporativa com tecnologia SD-WAN em Goiás.,"Internet banda larga terrestre simples, sem garantia de simetria plena 1:1, sem camada robusta de NGFW/IPS integrado nos CPEs e sem os 3 perfis físicos fixos; abrangência exclusiva em Goiás."
2219745,CD_FUPESC,Proposta CD 75/2025 FUPESC,Contratação Direta Estadual (SC),3.0,6.0,4.0,1.0,4.0,2.0,6.0,6.5,39.5,39.5,Muito Baixa Aderência,Fornecimento de links dedicados e internet para presídios em Santa Catarina sob prazo anual de 12 meses.,"Trata-se de link de internet/conectividade pura via provedores regionais de SC; ausência de arquitetura SD-WAN gerenciada, sem NGFW e sem nenhuma aderência geográfica com o Estado do Rio de Janeiro."
